roi,F_stat,df_num,df_den,p_value,eta_squared,p_fdr
L_STG_posterior,0.43037949645145485,2,43.89860300858583,0.6529763049693199,0.011377596986839574,0.8524637813464756
L_STG_anterior,1.885944440916482,2,43.71462534905394,0.16382154419164646,0.06438780213507603,0.8220290456394241
L_MTG,0.3703930446748352,2,43.917837555089505,0.6925991163053521,0.011661213919191313,0.8524637813464756
L_IFG_triangularis,0.429004994118089,2,44.30720076139624,0.6538325451793549,0.013367951622018946,0.8524637813464756
L_IFG_opercularis,0.7236217768644018,2,44.586479830918506,0.49060018298815805,0.01816481673144732,0.8524637813464756
L_STS,0.3324781912292051,2,44.672490656737544,0.7189036159498936,0.008117381860022239,0.8524637813464756
R_STG_posterior,1.2679857462730402,2,43.47543372055761,0.2915971005814009,0.03220886575791857,0.8524637813464756
R_STG_anterior,1.9945307298390142,2,45.307145852030615,0.14784919933802665,0.061033692998007934,0.8220290456394241
R_MTG,0.23003391005902438,2,44.4791270241038,0.7954459502663885,0.00801849973754132,0.8524637813464756
R_IFG,0.16018811545132666,2,45.318969132406885,0.8524637813464756,0.005073846874546521,0.8524637813464756
L_Heschl,1.6397352893041985,2,44.61855837479635,0.20550726140985603,0.05904208057529313,0.8220290456394241
R_Heschl,0.7207904691095447,2,44.65754039167555,0.4919387404121352,0.02031099943631493,0.8524637813464756
